model,layer,dataset,subject,roi,pearson_r,pearson_r_nc,explained_variance,ev_nc,enc_rsa,enc_cka,rsa,cka
MODEL_A,layer3-20,EEG2,sub-02,occipital_parietal,0.15503986,37.16798034,0.02652877,-184159.37345121,0.19669497,0.11813238,,
MODEL_A,layer3-20,EEG2,sub-03,occipital_parietal,0.21313399,13.24219417,0.04903405,-454951.21661269,0.25869971,0.22936845,,
MODEL_A,layer3-20,EEG2,sub-04,occipital_parietal,0.20745299,20.44135593,0.04629159,-359744.80476575,0.04970086,0.02637747,,
MODEL_A,layer3-20,EEG2,sub-05,occipital_parietal,0.24252203,184.06723845,0.06155083,-477177.23417423,0.33498731,0.35148413,,
MODEL_A,layer3-20,EEG2,sub-06,occipital_parietal,0.29101803,42.96838271,0.08698691,-177934.07201397,0.33886432,0.32454358,,
MODEL_A,layer3-20,EEG2,sub-07,occipital_parietal,0.23599566,83.03359264,0.06883929,-322134.70311197,0.37267595,0.4195627,,
MODEL_A,layer3-20,EEG2,sub-08,occipital_parietal,0.22045733,42.71053693,0.05056113,-190605.69058067,0.21653152,0.23332414,,
MODEL_A,layer3-20,EEG2,sub-09,occipital_parietal,0.20100177,46.69494114,0.0448645,-352303.34355483,0.16250345,0.12807569,,
MODEL_A,layer3-20,EEG2,sub-10,occipital_parietal,0.32130352,-10.14860897,0.08450694,-2379334.2726951,0.48989744,0.40470896,,
MODEL_A,layer3-25,EEG2,sub-01,occipital_parietal,0.18784637,14.64011706,0.04536625,-1028035.18920564,0.07447742,0.01323706,,
MODEL_A,layer3-25,EEG2,sub-02,occipital_parietal,0.15313791,-20.2998823,0.02187998,-672533.08987164,0.15560464,0.10609564,,
MODEL_A,layer3-25,EEG2,sub-03,occipital_parietal,0.22482652,-9.6973086,0.05442767,-650478.83279383,0.26641382,0.22098252,,
MODEL_A,layer3-25,EEG2,sub-04,occipital_parietal,0.21388312,23.76916823,0.04114885,-563152.70571818,0.01349171,0.02525237,,
MODEL_A,layer3-25,EEG2,sub-05,occipital_parietal,0.23618238,109.00605421,0.05902596,-903175.9215359,0.3359567,0.34837606,,
MODEL_A,layer3-25,EEG2,sub-06,occipital_parietal,0.29479671,81.46247149,0.08931821,-12011.75467811,0.37393529,0.35214341,,
